Assortment,Probability
"[0, 23, 10, 27, 15, 2]","[0.07986453658672003, 0.07211761472866973, 0.5699799385088877, 0.0005295612060357091, 0.25359212513710744, 0.023916223832579457]"
"[0, 9]","[0.22387921129745417, 0.7761207887025459]"
"[0, 18, 30]","[0.2566635123723457, 0.7185826098605961, 0.024753877767058417]"
"[0, 23, 8, 4]","[0.14896113007575434, 0.11207761106424016, 0.6680839152351665, 0.07087734362483909]"
"[0, 4, 13, 17, 26]","[0.20740597428765017, 0.07763842567263847, 0.35928876308392954, 0.35443119414169866, 0.0012356428140833213]"
"[0, 26, 7, 11, 22, 2]","[0.15006979962184402, 0.0011959951567185106, 0.45254164584641304, 0.2740525213486443, 0.07843086682688348, 0.04370917119949675]"
"[0, 8]","[0.27826220719908945, 0.7217377928009108]"
"[0, 16, 11]","[0.2841259857807588, 0.37216101730034906, 0.3437129969188923]"
"[0, 22, 10, 1]","[0.1095794917479948, 0.06697909396874624, 0.7955854967149985, 0.027855917568260596]"
"[0, 13, 18, 5, 25]","[0.12933537190871228, 0.3216906428922522, 0.3744172086712913, 0.054138756738998595, 0.1204180197887459]"
"[0, 15, 19, 22, 8, 26]","[0.0962202910033505, 0.23596795075120064, 0.2610022954034521, 0.03528293173996442, 0.3710852300970027, 0.0004413010050297576]"
"[0, 13]","[0.37037705537265336, 0.6296229446273469]"
"[0, 1, 26]","[0.6266783017109836, 0.28062819949196255, 0.09269349879705405]"
"[0, 30, 7, 16]","[0.2288513909633445, 0.023690176100748313, 0.4654469885028212, 0.2820114444330861]"
"[0, 19, 15, 8, 2]","[0.10245209546665862, 0.2699914738598788, 0.23776317118370133, 0.3700686577439548, 0.019724601745806626]"
"[0, 12, 16, 28, 25, 8]","[0.08608776809746313, 0.20238184162269798, 0.14055206816406293, 0.0012446077003596514, 0.14606215555765856, 0.4236715588577579]"
"[0, 21]","[0.5760605629790763, 0.42393943702092396]"
"[0, 26, 21]","[0.541326611833997, 0.12759207026653938, 0.3310813178994639]"
"[0, 29, 5, 10]","[0.11801386969241354, 0.011075798873504813, 0.08134827788019285, 0.789562053553889]"
"[0, 4, 29, 14, 20]","[0.11924498157368159, 0.03317986630639778, 0.002119453520941524, 0.2966562550383704, 0.5487994435606088]"
"[0, 29, 21, 8, 2, 14]","[0.13876109910734985, 0.003318912507492516, 0.048779967859912815, 0.45890723126571736, 0.04223038651609924, 0.3080024027434284]"
"[0, 11]","[0.3918331045875865, 0.6081668954124135]"
"[0, 1, 26]","[0.6266783017109836, 0.28062819949196255, 0.09269349879705405]"
"[0, 26, 10, 12]","[0.13603557746586867, 0.001500423417101176, 0.6673852309508731, 0.19507876816615727]"
"[0, 29, 20, 21, 13]","[0.1282116103513062, 0.001834849089241264, 0.586187392283538, 0.008240114715125497, 0.2755260335607893]"
"[0, 8, 14, 27, 21, 2]","[0.13931515666869915, 0.4589954914667233, 0.30875709689511716, 0.0013040791864068672, 0.049397789266954484, 0.04223038651609924]"
"[0, 11]","[0.3918331045875865, 0.6081668954124135]"
"[0, 13, 21]","[0.30090134295746773, 0.6186058240803098, 0.08049283296222269]"
"[0, 11, 26, 2]","[0.3259184748708434, 0.57272043581763, 0.006797085335769094, 0.09456400397575773]"
"[0, 21, 10, 3, 28]","[0.11152934301679314, 0.04397408142257635, 0.7931742024728166, 0.048761618561842954, 0.0025607545259712814]"
"[0, 2, 21, 9, 30, 18]","[0.12681902432700248, 0.023735927225991098, 0.030212100927878426, 0.5383145651871792, 0.006747946271284755, 0.2741704360606642]"
"[0, 23]","[0.45415027380082446, 0.5458497261991758]"
"[0, 4, 30]","[0.5043893402922526, 0.3563582967785346, 0.13925236292921309]"
"[0, 1, 8, 26]","[0.23056616547867248, 0.058803640888371186, 0.7022154771256337, 0.008414716507322817]"
"[0, 21, 1, 11, 6]","[0.17221511115908822, 0.061880413254726055, 0.04107575945217636, 0.30097708699794273, 0.4238516291360668]"
"[0, 20, 9, 27, 13, 1]","[0.08528845076997199, 0.3344766250135545, 0.4169517504301467, 0.0006862577793652067, 0.15379790758727838, 0.008799008419683368]"
"[0, 1]","[0.654406942982526, 0.34559305701747417]"
"[0, 2, 15]","[0.2832867755345486, 0.07350398252752459, 0.6432092419379271]"
"[0, 10, 4, 25]","[0.07081585499608807, 0.7502467289357813, 0.03749076947998907, 0.14144664658814188]"
"[0, 17, 11, 23, 4]","[0.18912273178639716, 0.37448676384739277, 0.29445219567364295, 0.07713294026227722, 0.06480536843029011]"
"[0, 11, 30, 23, 1, 18]","[0.17253924730760598, 0.27474410901608753, 0.005433033079789953, 0.07576311673084592, 0.027088344493292234, 0.4444321493723785]"
"[0, 7]","[0.3170062632437462, 0.682993736756254]"
"[0, 9, 26]","[0.2194662012471566, 0.773689150731744, 0.006844648021099407]"
"[0, 7, 13, 3]","[0.17126784456128613, 0.4334895469497084, 0.31947491174786175, 0.07576769674114381]"
"[0, 11, 23, 9, 19]","[0.0921721171147396, 0.13079853482666193, 0.05851943259121451, 0.4525221652312874, 0.2659877502360968]"
"[0, 22, 30, 3, 6, 15]","[0.1278856907705906, 0.06542013079040064, 0.004676276764171694, 0.049034429729102866, 0.3747999190463094, 0.37818355289942507]"
"[0, 22]","[0.5171014660805294, 0.4828985339194708]"
"[0, 3, 11]","[0.31422725427262393, 0.11386458889461053, 0.5719081568327657]"
"[0, 14, 21, 26]","[0.28856904558511737, 0.6326546243232969, 0.07652500742447411, 0.0022513226671118736]"
"[0, 2, 14, 22, 27]","[0.25624807892505, 0.055690917798979125, 0.6067799309801178, 0.07827931705214333, 0.003001755243709785]"
"[0, 4, 26, 15, 25, 17]","[0.14149878296814952, 0.04058039667511685, 0.00017652040201190304, 0.40518288217670134, 0.12626924402522116, 0.2862921737527995]"
"[0, 21]","[0.5760605629790763, 0.42393943702092396]"
"[0, 29, 19]","[0.20447650944395696, 0.010491140987331221, 0.7850323495687122]"
"[0, 22, 20, 27]","[0.14849905249075623, 0.020781879058264577, 0.8284361895133838, 0.0022828789375955168]"
"[0, 5, 14, 25, 19]","[0.10787480645533298, 0.04250633158648581, 0.324998834822146, 0.10506772972364163, 0.41955229741239375]"
"[0, 22, 18, 27, 5, 13]","[0.16258207287164028, 0.03989514278087763, 0.39432213940099303, 0.0013251117118879604, 0.07449335854817596, 0.3273821746864253]"
"[0, 12]","[0.38229898441852733, 0.6177010155814728]"
"[0, 17, 26]","[0.3111011495813528, 0.6820503949565062, 0.00684845546214101]"
"[0, 7, 12, 18]","[0.15102457163329733, 0.3698026570429688, 0.20367993808694726, 0.2754928332367869]"
"[0, 13, 23, 2, 10]","[0.08462134917623629, 0.20294336198909352, 0.07543549980055138, 0.02591154198134911, 0.6110882470527699]"
"[0, 18, 27, 13, 4, 21]","[0.17560904174650882, 0.40622364040752956, 0.0015898923149058148, 0.3311270147226142, 0.06113347978318622, 0.024316931025255596]"
"[0, 15]","[0.33079306552456783, 0.6692069344754323]"
"[0, 17, 2]","[0.28608622068865247, 0.6120992756954546, 0.10181450361589317]"
"[0, 18, 26, 8]","[0.17105216299380743, 0.3475645262819269, 0.002323553941113475, 0.4790597567831524]"
"[0, 19, 24, 2, 7]","[0.11085510649704086, 0.3786249329852495, 0.08621127700137705, 0.019063509590373236, 0.4052451739259595]"
"[0, 14, 7, 20, 23, 28]","[0.08434305066288789, 0.1984223066915122, 0.32814873391077004, 0.35480855205506107, 0.03334614212606832, 0.0009312145537006559]"
"[0, 22]","[0.5171014660805294, 0.4828985339194708]"
"[0, 29, 21]","[0.5200542304640067, 0.19248731263929475, 0.28745845689669886]"
"[0, 28, 20, 8]","[0.1093257492812876, 0.001834849089241264, 0.4650329352488483, 0.423806466380623]"
"[0, 17, 30, 25, 3]","[0.2006731791549488, 0.5382665085535059, 0.019290229332524802, 0.15631649664474104, 0.08545358631427956]"
"[0, 28, 14, 2, 23, 7]","[0.12081730957297149, 0.0016372961617482679, 0.3274865857513006, 0.034077292102970023, 0.09840453422778049, 0.4175769821832294]"
"[0, 26]","[0.7981992392461229, 0.20180076075387726]"
"[0, 20, 11]","[0.1366479116572561, 0.6378768200753576, 0.22547526826738637]"
"[0, 11, 10, 17]","[0.11224314620696368, 0.13750580631055873, 0.5888506003044257, 0.16140044717805216]"
"[0, 8, 19, 23, 1]","[0.11435098943419356, 0.4476874754871599, 0.3630902507918778, 0.059557585853610304, 0.0153136984331585]"
"[0, 17, 6, 12, 1, 29]","[0.1577852806124827, 0.226539251739951, 0.3507551127675807, 0.227662439847389, 0.031683884956314357, 0.0055740300762824446]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 19, 2]","[0.1966664772688662, 0.7469155289778091, 0.0564179937533249]"
"[0, 30, 17, 21]","[0.27515680239217855, 0.03295198539981467, 0.6351705865845432, 0.05672062562346379]"
"[0, 11, 21, 18, 28]","[0.20164805309779277, 0.28599800171338746, 0.038169275802991905, 0.47158734501810223, 0.002597324367725799]"
"[0, 15, 5, 27, 16, 22]","[0.1836377264305557, 0.4372458845064089, 0.0776299824374042, 0.0007943418090535636, 0.252744903485472, 0.04794716133110578]"
"[0, 6]","[0.34559992808854784, 0.6544000719114522]"
"[0, 11, 22]","[0.3005390907517425, 0.5892430033664591, 0.11021790588179842]"
"[0, 13, 7, 25]","[0.09901522527196815, 0.30300090844193434, 0.42768079820913263, 0.17030306807696496]"
"[0, 22, 7, 29, 16]","[0.1816107667446955, 0.08704347572724754, 0.46234941118865175, 0.00974311093709787, 0.2592532354023074]"
"[0, 20, 3, 8, 13, 22]","[0.0860672930000201, 0.3451563866564896, 0.01746813995022527, 0.36981163680116863, 0.16530878649235672, 0.01618775709973978]"
"[0, 1]","[0.654406942982526, 0.34559305701747417]"
"[0, 6, 16]","[0.25313465379641054, 0.43083216602267743, 0.31603318018091225]"
"[0, 10, 15, 24]","[0.07241463409486006, 0.5662958174068524, 0.2534436733147959, 0.10784587518349167]"
"[0, 19, 27, 3, 6]","[0.145388896798556, 0.443830270824673, 0.002460426685760567, 0.03486450413512895, 0.3734559015558816]"
"[0, 17, 8, 2, 21, 14]","[0.12071751573224233, 0.16774197225851828, 0.40294535763477635, 0.02866428797352908, 0.036740787966725266, 0.2431900784342089]"
"[0, 28]","[0.7655117229430666, 0.2344882770569336]"
"[0, 8, 5]","[0.19345918571402607, 0.6833777200904412, 0.12316309419553283]"
"[0, 24, 12, 2]","[0.2441845260361568, 0.14373853155707003, 0.55835815228875, 0.05371879011802348]"
"[0, 19, 1, 23, 13]","[0.1403021265307787, 0.47804064045782946, 0.01988566399282412, 0.057560111367107245, 0.3042114576514607]"
"[0, 27, 19, 13, 2, 7]","[0.1154879379700754, 0.001460775759736365, 0.308638197091556, 0.2002465852217935, 0.02198100434205004, 0.3521854996147889]"
"[0, 17]","[0.31320077927361195, 0.686799220726388]"
"[0, 2, 24]","[0.35957012982157627, 0.20219735868786015, 0.43823251149056375]"
"[0, 25, 30, 15]","[0.20255366862022728, 0.1800181155612047, 0.0061202183587445525, 0.6113079974598237]"
"[0, 12, 10, 20, 28]","[0.07386946029978947, 0.1177170896730745, 0.4968023242494597, 0.31057182719428755, 0.0010392985833890128]"
"[0, 14, 27, 6, 25, 18]","[0.07750501222161787, 0.2463494936310981, 0.0004214771763473522, 0.32805873053544227, 0.1330778146927214, 0.2145874717427731]"
"[0, 8]","[0.27826220719908945, 0.7217377928009108]"
"[0, 9, 11]","[0.18749476163257014, 0.5904215539773032, 0.22208368439012685]"
"[0, 16, 10, 1]","[0.12378672768297228, 0.16230046179234875, 0.6843486550790219, 0.029564155445657256]"
"[0, 19, 14, 3, 23]","[0.13352326546956608, 0.4497509774092519, 0.33245658770688913, 0.029484129487145364, 0.0547850399271476]"
"[0, 19, 5, 30, 10, 21]","[0.08337869132363132, 0.2761914260259245, 0.04384691117326399, 0.003993950267547599, 0.5814755873516897, 0.011113433857943094]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 20, 28]","[0.15421747448569073, 0.8411891876209583, 0.004593337893351082]"
"[0, 22, 13, 9]","[0.12939641699244164, 0.08201943796947622, 0.2591663855001044, 0.5294177595379779]"
"[0, 20, 7, 25, 28]","[0.08051054068942694, 0.4369043102946182, 0.38453193776388167, 0.0966110506242207, 0.001442160627852647]"
"[0, 20, 25, 10, 27, 5]","[0.051986698485999294, 0.3093052347801473, 0.07745893646016987, 0.5375111535097995, 0.0003332169753414007, 0.02340475978854272]"
"[0, 29]","[0.7419953994050248, 0.25800460059497554]"
"[0, 2, 19]","[0.1966664772688662, 0.0564179937533249, 0.7469155289778091]"
"[0, 2, 7, 24]","[0.16060825228073544, 0.0448991578289806, 0.621646079452951, 0.17284651043733312]"
"[0, 21, 29, 4, 16]","[0.26732795190661723, 0.044521008235741046, 0.017364079561940027, 0.15072676618176553, 0.5200601941139363]"
"[0, 16, 10, 2, 29, 21]","[0.10451017416315572, 0.14892191608496344, 0.6691593960740984, 0.031039707763245307, 0.004591947845906854, 0.04177685806863054]"
"[0, 11]","[0.3918331045875865, 0.6081668954124135]"
"[0, 17, 29]","[0.3063342143126598, 0.6680308947740071, 0.025634890913333236]"
"[0, 4, 27, 6]","[0.23945015163869837, 0.11900512496592161, 0.0119751219593183, 0.6295696014360619]"
"[0, 12, 23, 29, 17]","[0.19357360615940483, 0.33813723370106624, 0.09508036568003908, 0.003324438501254504, 0.3698843559582356]"
"[0, 18, 1, 8, 25, 29]","[0.0996730537752703, 0.2831360169625653, 0.0112892690795394, 0.4669065764028294, 0.13558120131805473, 0.0034138824617410035]"
"[0, 10]","[0.15928294232269213, 0.840717057677308]"
"[0, 29, 9]","[0.21510760998928907, 0.014982610350922528, 0.7699097796597887]"
"[0, 25, 1, 7]","[0.1426584941648695, 0.22538093891859556, 0.028549068598726843, 0.6034114983178083]"
"[0, 18, 23, 12, 5]","[0.15873835836524508, 0.40849078735217104, 0.06297817042810495, 0.29867248693884657, 0.07112019691563264]"
"[0, 26, 5, 17, 22, 15]","[0.17072282301922292, 0.0006178214070416606, 0.07495994200283086, 0.2953178951896652, 0.04419658315057645, 0.41418493523066313]"
"[0, 24]","[0.40262125827819256, 0.5973787417218075]"
"[0, 11, 28]","[0.38901382407021295, 0.5942684652917748, 0.01671771063801243]"
"[0, 28, 21, 20]","[0.15195396296859454, 0.004328557290333227, 0.009693134285384219, 0.8340243454556882]"
"[0, 19, 28, 25, 4]","[0.1447834381534282, 0.6618638067744552, 0.003371998761424358, 0.12242482541375592, 0.06755593089693643]"
"[0, 3, 13, 10, 27, 25]","[0.06252854625108081, 0.024363933485516492, 0.197033094584964, 0.5908582293003581, 0.0004214771763473522, 0.12479471920173343]"
"[0, 23]","[0.45415027380082446, 0.5458497261991758]"
"[0, 14, 10]","[0.13013909870952756, 0.24046707291976566, 0.6293938283707069]"
"[0, 24, 16, 28]","[0.2577277535469784, 0.14946440267059424, 0.5803922225474868, 0.012415621234940704]"
"[0, 5, 11, 20, 23]","[0.11721836869945138, 0.04480790934993779, 0.2160903755281084, 0.5946984112296503, 0.02718493519285236]"
"[0, 29, 14, 17, 4, 8]","[0.12416429798843115, 0.004466295120569886, 0.24135966472585196, 0.1705672396831173, 0.0580791760421487, 0.40136332643988115]"
"[0, 24]","[0.40262125827819256, 0.5973787417218075]"
"[0, 15, 30]","[0.3249477394367253, 0.6602577171578661, 0.014794543405408683]"
"[0, 15, 3, 7]","[0.15704746693165783, 0.3681885713666168, 0.0701701179504825, 0.4045938437512431]"
"[0, 18, 13, 21, 10]","[0.08985885384455139, 0.18027656885250573, 0.16055730678530816, 0.02638265593313334, 0.5429246145845015]"
"[0, 28, 7, 1, 23, 19]","[0.12290430425742113, 0.00261057576641111, 0.405730976376173, 0.016477388624548152, 0.060015141926956964, 0.3922616130484898]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 20, 23]","[0.14189009103509673, 0.8207708964274361, 0.037339012537467395]"
"[0, 25, 30, 8]","[0.13272124801930296, 0.2068780477029023, 0.008813105080195902, 0.651587599197599]"
"[0, 12, 28, 4, 25]","[0.21777245305629384, 0.5279038781871173, 0.004980957917102669, 0.07059104180459785, 0.17875166903488868]"
"[0, 28, 2, 9, 15, 18]","[0.1072356956247377, 0.001990336965772074, 0.02364472015868752, 0.43361133351325953, 0.2415247610106635, 0.1919931527268798]"
"[0, 30]","[0.7116249158598886, 0.2883750841401116]"
"[0, 6, 13]","[0.24129030908910065, 0.4032326942567308, 0.35547699665416876]"
"[0, 7, 3, 14]","[0.1655371038580259, 0.42063528758822366, 0.07387162513096478, 0.3399559834227859]"
"[0, 28, 1, 20, 25]","[0.11676659530271861, 0.0029703454137594114, 0.027056758012337864, 0.7510383424644487, 0.10216795880673561]"
"[0, 26, 25, 3, 19, 8]","[0.08712723463608356, 0.0004899135486708983, 0.11441080318166441, 0.01846635818643705, 0.3347645729366085, 0.4447411175105357]"
"[0, 3]","[0.5770967690161186, 0.42290323098388155]"
"[0, 23, 28]","[0.4350498611625689, 0.44229561789688165, 0.12265452094054968]"
"[0, 3, 22, 16]","[0.2677545504801548, 0.12810467056655914, 0.07342031500345333, 0.530720463949833]"
"[0, 10, 14, 25, 3]","[0.06112291314587436, 0.572457942654192, 0.21932047354757814, 0.12366716041733845, 0.023431510235017147]"
"[0, 19, 13, 21, 7, 1]","[0.11194294474572096, 0.3040877746895154, 0.19956929232870463, 0.01633978114643811, 0.3527379158918158, 0.015322291197805227]"
"[0, 23]","[0.45415027380082446, 0.5458497261991758]"
"[0, 14, 27]","[0.3537040501402254, 0.6407085635677943, 0.005587386291980651]"
"[0, 10, 27, 1]","[0.13730130868605442, 0.8174716724184998, 0.007346629208975069, 0.03788038968647091]"
"[0, 7, 20, 11, 4]","[0.09696649843347746, 0.3412987014572773, 0.39638578988424555, 0.13841020208441765, 0.02693880814058229]"
"[0, 25, 14, 17, 10, 4]","[0.054246351824058694, 0.10982830282763706, 0.17964643571556155, 0.11350694361803623, 0.5159320067813029, 0.026839959233403703]"
"[0, 15]","[0.33079306552456783, 0.6692069344754323]"
"[0, 23, 17]","[0.25241095695520893, 0.10976818151988744, 0.6378208615249037]"
"[0, 14, 1, 22]","[0.2599318030626222, 0.6122008216663819, 0.045368417753945844, 0.08249895751705028]"
"[0, 4, 19, 12, 22]","[0.14802064942618812, 0.04673600628916251, 0.5021544820454009, 0.27310253670561285, 0.029986325533635717]"
"[0, 23, 8, 12, 16, 3]","[0.10775688752249105, 0.08446733621749956, 0.42440819921627904, 0.20343026711422674, 0.14210806443215276, 0.037829245497351]"
"[0, 7]","[0.3170062632437462, 0.682993736756254]"
"[0, 18, 27]","[0.26105758300833254, 0.7324944061803929, 0.006448010811274751]"
"[0, 21, 26, 7]","[0.23755997609578386, 0.09671866498441922, 0.002726415985577109, 0.6629949429342199]"
"[0, 18, 13, 8, 3]","[0.12324560953209117, 0.2305424910124347, 0.20832951298500677, 0.39884065215559383, 0.0390417343148737]"
"[0, 6, 15, 18, 29, 25]","[0.07413573796045902, 0.3223415720081503, 0.2682140219414233, 0.20365133423099288, 0.0014409519310539596, 0.13021638192792076]"
"[0, 6]","[0.34559992808854784, 0.6544000719114522]"
"[0, 18, 23]","[0.21784803165946964, 0.6877314447835167, 0.09442052355701397]"
"[0, 30, 1, 17]","[0.2847148007424053, 0.03134248553826185, 0.08099278345411803, 0.602949930265215]"
"[0, 7, 3, 16, 14]","[0.1412149973099337, 0.3724174335967128, 0.05854817690948594, 0.15721960746455546, 0.27059978471931234]"
"[0, 25, 1, 16, 12, 7]","[0.08841795074479816, 0.14455245965437835, 0.01366389975648994, 0.1544834502875288, 0.21408335191906763, 0.3847988876377373]"
"[0, 22]","[0.5171014660805294, 0.4828985339194708]"
"[0, 3, 8]","[0.21631987590269897, 0.0859490936324851, 0.6977310304648161]"
"[0, 14, 8, 2]","[0.1627293020246277, 0.31571632401804617, 0.46370546042321437, 0.05784891353411185]"
"[0, 4, 26, 24, 10]","[0.08337046299824921, 0.043339056655534655, 0.00026478060301785456, 0.10845861184674427, 0.7645670878964541]"
"[0, 20, 3, 24, 11, 27]","[0.11318228664954078, 0.5875778408032188, 0.025865047349274035, 0.05457338807053238, 0.21837995995108675, 0.0004214771763473522]"
"[0, 30]","[0.7116249158598886, 0.2883750841401116]"
"[0, 5, 11]","[0.2930660196579617, 0.15254740563580388, 0.5543865747062346]"
"[0, 29, 12, 16]","[0.2738525007353945, 0.007501836830478968, 0.36670256737792045, 0.3519430950562063]"
"[0, 12, 17, 2, 30]","[0.2236289567983351, 0.33343880282216015, 0.38002325180814156, 0.05345487356869235, 0.009454115002670928]"
"[0, 23, 28, 20, 3, 11]","[0.12013460524370326, 0.031023877902169383, 0.0013935480842115064, 0.6011664054436222, 0.027705259144512724, 0.21857630418178106]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 14, 1]","[0.30707713201215864, 0.6263289824995799, 0.06659388548826163]"
"[0, 23, 16, 8]","[0.1525402250943249, 0.10653571959047337, 0.22560982831800044, 0.5153142269972014]"
"[0, 7, 15, 23, 19]","[0.09186857993100435, 0.33662848254316113, 0.24805138072638686, 0.059697579126070356, 0.2637539776733774]"
"[0, 22, 15, 1, 26, 6]","[0.13461042153754774, 0.07510807945450772, 0.38303373723023443, 0.03107658829000687, 0.0007060816080476122, 0.3754650918796558]"
"[0, 30]","[0.7116249158598886, 0.2883750841401116]"
"[0, 21, 2]","[0.46573532314597865, 0.24312969825025899, 0.2911349786037626]"
"[0, 6, 26, 21]","[0.25789727557593944, 0.6292725620194803, 0.004136685145542588, 0.10869347725903772]"
"[0, 17, 11, 6, 24]","[0.11322689362952512, 0.21049101325665212, 0.19988418169780833, 0.35691206930797614, 0.11948584210803846]"
"[0, 25, 13, 2, 10, 19]","[0.05208438823135039, 0.10063735160689172, 0.14279524765004356, 0.008464166448616185, 0.5015313830987345, 0.19448746296436387]"
"[0, 22]","[0.5171014660805294, 0.4828985339194708]"
"[0, 12, 18]","[0.21285197292661648, 0.3187121779845238, 0.46843584908885993]"
"[0, 4, 20, 10]","[0.07530408095424734, 0.02393847500377717, 0.35363736469594104, 0.5471200793460346]"
"[0, 29, 20, 25, 4]","[0.11544155936930994, 0.00409135670547542, 0.7345695587566581, 0.09357197604002236, 0.05232554912853443]"
